genome	gtdb_taxopath	gtdb_fastani_reference	genbank_assembly
MMP03358818	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_001726485.1
MMP03358817	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_001726175.1
MMP03358816	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus	gtdb:GCF_001558495.2	insdc.gca:GCA_001726165.1
MMP03354289	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__Aliterella;s__Aliterella atlantica	gtdb:GCF_000952155.1	insdc.gca:GCA_000952155.1
MMP03351980	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira;s__Thalassospira sp000948415	gtdb:GCF_000948415.1	insdc.gca:GCA_000948415.1
MMP03351825	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Lacinutrix;s__Lacinutrix sp000934685	gtdb:GCF_000934685.1	insdc.gca:GCA_000934685.1
MMP03344099	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A citreus	gtdb:GCF_001235865.1	insdc.gca:GCA_001235865.1
MMP03339880	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001682055.1
MMP03339879	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001682035.1
MMP03339878	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001682005.1
MMP03339877	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681995.1
MMP03339876	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681975.1
MMP03339875	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681955.1
MMP03339874	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681925.1
MMP03339873	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681905.1
MMP03339871	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681875.1
MMP03339870	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681845.1
MMP03339869	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681825.1
MMP03339868	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681815.1
MMP03339867	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681795.1
MMP03339866	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001682075.1
MMP03339865	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681765.1
MMP03339864	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681755.1
MMP03339863	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681735.1
MMP03339862	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681715.1
MMP03339859	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681645.1
MMP03339858	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681635.1
MMP03339857	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681605.1
MMP03339856	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681595.1
MMP03339855	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001683015.1
MMP03339854	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681535.1
MMP03339853	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681525.1
MMP03339852	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681515.1
MMP03339851	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681485.1
MMP03339850	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681475.1
MMP03339849	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001683035.1
MMP03339848	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681415.1
MMP03339847	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681405.1
MMP03339846	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681445.1
MMP03339845	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681385.1
MMP03339843	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681355.1
MMP03339842	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681335.1
MMP03339841	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681305.1
MMP03339840	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681285.1
MMP03339839	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681265.1
MMP03339838	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681255.1
MMP03339837	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681235.1
MMP03339836	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_001681205.1
MMP03339753	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mexicanus	gtdb:GCF_001012815.1	insdc.gca:GCA_001012815.1
MMP03339663	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio aestivus	gtdb:GCA_003263845.1	insdc.gca:GCA_003263845.1
MMP03338712	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio marisflavi	gtdb:GCA_003263805.1	insdc.gca:GCA_003263805.1
MMP03338705	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mediterranei	gtdb:GCF_900088415.1	insdc.gca:GCA_003263795.1
MMP03338703	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio variabilis	gtdb:GCA_003263785.1	insdc.gca:GCA_003263785.1
MMP03333401	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio maritimus	gtdb:GCA_003263775.1	insdc.gca:GCA_003263775.1
MMP03333110	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas polaris	gtdb:GCF_900129155.1	insdc.gca:GCA_002792415.1
MMP03332968	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas salmonicida	gtdb:GCF_001643305.1	insdc.gca:GCA_001597895.1
MMP03329626	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia;s__Jannaschia aquimarina	gtdb:GCF_000877395.1	insdc.gca:GCA_000877395.1
MMP03329625	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio diabolicus	gtdb:GCF_001048675.1	insdc.gca:GCA_000962815.1
MMP03329560	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus pumilus	gtdb:GCF_900186955.1	insdc.gca:GCA_001183525.1
MMP03329042	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Wenxinia;s__Wenxinia marina	gtdb:GCF_000379485.1	insdc.gca:GCA_000836695.1
MMP03328792	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E deceptionensis	gtdb:GCF_900106095.1	insdc.gca:GCA_001042895.1
MMP03327480	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Micromonosporaceae;g__Micromonospora;s__Micromonospora maris	gtdb:GCF_000204155.1	insdc.gca:GCA_001507315.1
MMP03325920	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Aestuariivita;s__Aestuariivita boseongensis	gtdb:GCF_001262635.1	insdc.gca:GCA_001262635.1
MMP03323961	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tritonibacter;s__Tritonibacter mobile	gtdb:GCF_001681715.1	insdc.gca:GCA_000967745.1
MMP03323959	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus sp000967825	gtdb:GCF_000967825.1	insdc.gca:GCA_000967735.1
MMP03323958	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__Yoonia sp000967725	gtdb:GCF_000967725.1	insdc.gca:GCA_000967725.1
MMP03323956	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas fuliginea	gtdb:GCF_000690055.1	insdc.gca:GCA_000967705.1
MMP03323953	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas sp001624705	gtdb:GCF_001624705.1	insdc.gca:GCA_000967665.1
MMP03323950	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas sp003045775	gtdb:GCF_003045775.1	insdc.gca:GCA_000967645.1
MMP03323945	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas rubra_A	gtdb:GCF_000967655.1	insdc.gca:GCA_000967655.1
MMP03323942	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas ruthenica	gtdb:GCF_000336495.1	insdc.gca:GCA_000967625.1
MMP03323938	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas ruthenica	gtdb:GCF_000336495.1	insdc.gca:GCA_000967585.1
MMP03323934	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas elyakovii	gtdb:GCF_000814665.1	insdc.gca:GCA_000967575.1
MMP03323931	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pseudoalteromonas;s__Pseudoalteromonas piscicida	gtdb:GCF_000238315.3	insdc.gca:GCA_000967555.1
MMP03323928	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio galatheae	gtdb:GCF_000967545.1	insdc.gca:GCA_000967545.1
MMP03323927	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio neptunius	gtdb:GCF_000967495.1	insdc.gca:GCA_000967495.1
MMP03323919	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliilyticus	gtdb:GCF_000176135.1	insdc.gca:GCA_000967485.1
MMP03323806	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliilyticus	gtdb:GCF_000176135.1	insdc.gca:GCA_000967465.1
MMP03323802	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_B;s__Synechococcus_B spongiarum_E	gtdb:GCA_002018045.1	insdc.gca:GCA_001007635.1
MMP03323757	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudaestuariivita;s__Pseudaestuariivita atlantica	gtdb:GCF_001205715.1	insdc.gca:GCA_001205715.1
MMP03322817	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parauberis	gtdb:GCF_000187935.1	insdc.gca:GCA_001601885.1
MMP03299890	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parauberis	gtdb:GCF_000187935.1	insdc.gca:GCA_001601975.1
MMP03299889	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parauberis	gtdb:GCF_000187935.1	insdc.gca:GCA_001601935.1
MMP03295490	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_B;s__Klebsiella_B aerogenes	gtdb:GCF_000215745.1	insdc.gca:GCA_000950145.1
MMP03295489	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Raoultella;s__Raoultella ornithinolytica	gtdb:GCF_001598295.1	insdc.gca:GCA_000949945.1
MMP03295487	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950315.1
MMP03295483	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950255.1
MMP03295482	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950015.1
MMP03295481	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950005.1
MMP03295480	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium kishitanii	gtdb:GCF_003026355.1	insdc.gca:GCA_000950095.1
MMP03295479	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium iliopiscarium	gtdb:GCF_003026395.1	insdc.gca:GCA_000950265.1
MMP03295477	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950185.1
MMP03295476	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950225.1
MMP03295475	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950025.1
MMP03295474	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950215.1
MMP03295473	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950155.1
MMP03295472	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950275.1
MMP03295471	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950375.1
MMP03295470	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950085.1
MMP03295469	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium angustum	gtdb:GCF_003026365.1	insdc.gca:GCA_000950355.1
MMP03295468	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium kishitanii	gtdb:GCF_003026355.1	insdc.gca:GCA_000950335.1
MMP03295467	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium kishitanii	gtdb:GCF_003026355.1	insdc.gca:GCA_000949965.1
MMP03295466	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium kishitanii	gtdb:GCF_003026355.1	insdc.gca:GCA_000950075.1
MMP03295465	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium kishitanii	gtdb:GCF_003026355.1	insdc.gca:GCA_000950135.1
MMP03295279	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas aquamarina	gtdb:GCF_900110265.1	insdc.gca:GCA_001576535.1
MMP03295007	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas macleodii	gtdb:GCF_000172635.2	insdc.gca:GCA_001077695.1
MMP03292494	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio vulnificus	gtdb:GCF_002224265.1	insdc.gca:GCA_002891755.1
MMP03291887	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_B		insdc.gca:GCA_001007625.1
MMP03290694	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Amphibacillaceae;g__Ornithinibacillus;s__Ornithinibacillus californiensis	gtdb:GCF_001038485.1	insdc.gca:GCA_001038485.1
MMP03288802	d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocullaceae;g__Methanoculleus;s__Methanoculleus sediminis	gtdb:GCF_001017125.1	insdc.gca:GCA_001017125.1
MMP03287308	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp000967805	gtdb:GCF_000967805.1	insdc.gca:GCA_000967805.1
MMP03287307	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus sp000967825	gtdb:GCF_000967825.1	insdc.gca:GCA_000967825.1
MMP03287063	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Phaeobacter;s__Phaeobacter gallaeciensis	gtdb:GCF_000511385.1	insdc.gca:GCA_000819625.1
MMP03285415	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio mytili	gtdb:GCA_000830505.1	insdc.gca:GCA_000830505.1
MMP03285044	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ahrensia;s__Ahrensia marina	gtdb:GCF_001293565.1	insdc.gca:GCA_001293565.1
MMP03284851	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Thermosipho;s__Thermosipho melanesiensis	gtdb:GCF_000016905.1	insdc.gca:GCA_001999645.1
MMP03284850	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Thermosipho;s__Thermosipho melanesiensis	gtdb:GCF_000016905.1	insdc.gca:GCA_001999595.1
MMP03284849	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Thermosipho;s__Thermosipho melanesiensis	gtdb:GCF_000016905.1	insdc.gca:GCA_001999585.1
MMP03284848	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Thermosipho;s__Thermosipho melanesiensis	gtdb:GCF_000016905.1	insdc.gca:GCA_001999545.1
MMP03284847	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Fervidobacteriaceae;g__Thermosipho;s__Thermosipho melanesiensis	gtdb:GCF_000016905.1	insdc.gca:GCA_001999555.1
MMP03284751	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia aggregata_A	gtdb:GCF_001999245.1	insdc.gca:GCA_001932055.1
